Game Name,Genre,Gender Preference,Rating,Release Year,Size,Platform
Control,Battle,Male,4.2,2019,82GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Counter-Strike: Source,Battle,Both,3.8,2004,5174MB,"PC, macOS, Linux"
Dead Space (2008),Battle,Female,4.4,2008,70GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Uncharted 4: A Thief’s End,Battle,Male,4.5,2016,31GB,"PlayStation 5, PlayStation 4"
Just Cause 3,Battle,Female,3.4,2015,138GB,"PC, Xbox One, PlayStation 4"
Borderlands: The Pre-Sequel,Battle,Male,3.6,2014,1692MB,"PC, Android, macOS, Linux, Xbox 360, PlayStation 3"
Metro: Last Light Redux,Battle,Both,4.1,2014,65GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Counter-Strike,Battle,Male,4.0,2000,51GB,"PC, macOS, Linux, Xbox"
Left 4 Dead,Battle,Male,4.1,2008,116GB,"PC, macOS, Xbox 360"
Metal Gear Solid V: Ground Zeroes,Battle,Female,3.9,2014,6543MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Metro 2033 Redux,Battle,Both,4.1,2014,87GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Just Cause 2,Battle,Female,3.6,2010,649MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Paladins,Battle,Both,3.1,2016,85GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS"
Resident Evil 7: Biohazard,Battle,Female,4.3,2017,2962MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Titanfall 2,Battle,Male,4.3,2016,96GB,"PC, Xbox One, PlayStation 4"
Unturned,Battle,Male,2.7,2014,4192MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Mafia II,Battle,Female,4.2,2010,45GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Far Cry 5,Battle,Both,3.7,2018,33GB,"PC, Xbox One, PlayStation 4"
Metro Exodus,Battle,Both,4.2,2019,69GB,"PC, PlayStation 5, Xbox One, PlayStation 4"
Tom Clancy's Rainbow Six Siege,Battle,Female,3.9,2015,90GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Max Payne 3,Battle,Both,4.3,2012,106GB,"PC, macOS, Xbox 360, PlayStation 3"
War Thunder,Battle,Both,3.2,2013,13GB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Hitman 2,Battle,Female,4.0,2018,37GB,"PC, Xbox One, PlayStation 4"
Halo Infinite,Battle,Female,3.6,2021,3087MB,"PC, Xbox One, Xbox Series S/X"
DOOM Eternal,Battle,Male,4.4,2020,3493MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch"
Battlefield 1,Battle,Male,3.8,2016,126GB,"PC, Xbox One, PlayStation 4"
Resident Evil 5,Battle,Both,3.8,2009,3691MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
Insurgency,Battle,Male,3.4,2014,94GB,"PC, macOS, Linux"
Far Cry 4,Battle,Female,3.8,2014,5027MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Saints Row 2,Battle,Male,3.6,2008,98GB,"PC, Xbox One, Linux, Xbox 360, PlayStation 3"
Call of Duty: Modern Warfare 2,Battle,Both,4.3,2009,4559MB,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
Call of Juarez: Gunslinger,Battle,Female,3.8,2013,117GB,"PC, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3"
Grand Theft Auto III,Battle,Male,4.2,2001,1882MB,"PC, PlayStation 4, iOS, Android, macOS, Xbox, PlayStation 2"
Quake Champions,Battle,Female,3.3,2017,5527MB,PC
Call of Duty: Black Ops III,Battle,Male,3.3,2015,79GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Wolfenstein II: The New Colossus,Battle,Both,4.1,2017,2201MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Red Dead Redemption,Battle,Both,4.4,2010,31GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
The Last of Us Part II,Battle,Male,4.4,2020,7338MB,"PlayStation 5, PlayStation 4"
Dead Island,Battle,Both,3.5,2011,3196MB,"PC, Xbox 360, PlayStation 3"
Half-Life: Opposing Force,Battle,Both,3.9,1999,3987MB,"PC, macOS, Linux"
Resident Evil 4 (2005),Battle,Both,4.4,2005,95GB,"PC, PlayStation 4, iOS, Android, PlayStation 2, Wii, GameCube"
Call of Duty: Black Ops,Battle,Female,4.0,2010,6837MB,"PC, Xbox One, iOS, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
Quantum Break,Battle,Female,3.9,2016,548MB,"PC, Xbox One"
The Bureau: XCOM Declassified,Battle,Both,3.0,2013,7006MB,"PC, macOS, Xbox 360, PlayStation 3"
Dead Space 2,Battle,Male,4.4,2011,6704MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Fallout 3,Battle,Male,4.1,2008,60GB,"PC, Xbox One, Xbox 360, PlayStation 3"
SUPERHOT,Battle,Both,4.2,2016,78GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS, Linux, Web"
Battlefield 4,Battle,Both,4.0,2013,36GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Homefront,Battle,Both,3.0,2011,54GB,"PC, Xbox 360, PlayStation 3"
Sniper Elite V2,Battle,Male,3.4,2012,5808MB,"PC, Xbox 360, PlayStation 3, Wii U"
Call of Duty: WWII,Battle,Both,3.5,2017,1185MB,"PC, Xbox One, PlayStation 4"
Hotline Miami 2: Wrong Number,Battle,Both,4.3,2015,6082MB,"PC, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PlayStation 3, PS Vita"
Resident Evil 6,Battle,Female,3.4,2012,5292MB,"PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Web"
POSTAL 2,Battle,Both,3.9,2003,125GB,"PC, macOS, Linux"
The Outer Worlds,Battle,Both,3.9,2019,101GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Call of Duty: Modern Warfare 3,Battle,Male,3.8,2011,752MB,"PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii"
Borderlands Game of the Year Enhanced,Battle,Male,3.8,2019,20GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Borderlands 3,Battle,Female,3.9,2019,147GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Alan Wake's American Nightmare,Battle,Male,3.4,2012,1988MB,"PC, Xbox One, Xbox 360"
PAYDAY The Heist,Battle,Female,3.3,2011,139GB,"PC, PlayStation 3"
Tom Clancy’s The Division,Battle,Both,3.7,2016,4974MB,"PC, Xbox One, PlayStation 4"
"Warhammer 40,000: Space Marine",Battle,Male,3.5,2011,7070MB,"PC, Xbox 360, PlayStation 3"
Ratchet & Clank,Battle,Both,4.0,2016,1198MB,PlayStation 4
Call of Duty: Black Ops II,Battle,Female,4.0,2012,2692MB,"PC, Xbox One, Xbox 360, PlayStation 3, Wii U"
Black Mesa,Battle,Male,4.3,2020,7712MB,"PC, Linux"
Rust,Battle,Female,3.4,2018,7811MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Deus Ex: Game of the Year Edition,Battle,Female,4.1,2000,5674MB,"PC, macOS, PlayStation 3, PlayStation 2"
STAR WARS Battlefront II,Battle,Female,3.6,2017,129GB,"PC, Xbox One, PlayStation 4"
S.T.A.L.K.E.R.: Shadow of Chernobyl,Battle,Female,4.3,2007,5927MB,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Hitman: Blood Money,Battle,Both,4.3,2006,141GB,"PC, PlayStation 4, Xbox 360, Xbox, PlayStation 3, PlayStation 2"
Counter-Strike: Condition Zero Deleted Scenes,Battle,Female,2.9,2004,6211MB,"PC, macOS, Linux"
Max Payne,Battle,Female,4.5,2001,6831MB,"PC, PlayStation 4, Xbox 360, Xbox, PlayStation 3, PlayStation 2, Classic Macintosh"
Wolfenstein: The Old Blood,Battle,Female,4.0,2015,1596MB,"PC, Xbox One, PlayStation 4"
The Evil Within,Battle,Both,4.0,2014,36GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Sanctum 2,Battle,Both,3.0,2013,5093MB,"PC, macOS, Linux, Xbox 360, PlayStation 3"
Resident Evil,Battle,Male,4.2,1996,35GB,"PC, PlayStation, SEGA Saturn"
F.E.A.R.,Battle,Male,4.3,2005,5842MB,"PC, Xbox 360, PlayStation 3"
Enter the Gungeon,Battle,Female,4.1,2016,7258MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Serious Sam 3: BFE,Battle,Both,3.5,2011,146GB,"PC, macOS, Linux, Xbox 360, PlayStation 3"
Far Cry 3: Blood Dragon,Battle,Female,4.0,2013,107GB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Resident Evil 2,Battle,Female,4.5,2019,7328MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch"
Fortnite Battle Royale,Battle,Female,3.3,2017,19GB,"PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android"
Resident Evil 3,Battle,Female,4.0,2020,775MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Mafia: Definitive Edition,Battle,Male,4.2,2020,41GB,"PC, Xbox One, PlayStation 4"
Far Cry 2,Battle,Male,3.5,2008,80GB,"PC, Xbox One, Xbox 360, PlayStation 3"
PlanetSide 2,Battle,Male,3.0,2012,5582MB,"PC, PlayStation 4"
F.E.A.R. 3,Battle,Male,3.4,2011,125GB,"PC, Xbox 360, PlayStation 3"
Destiny,Battle,Female,3.7,2014,84GB,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
F.E.A.R. 2: Project Origin,Battle,Both,3.9,2009,104GB,"PC, Xbox 360, PlayStation 3"
STAR WARS Battlefront,Battle,Male,3.3,2015,38GB,"PC, Xbox One, PlayStation 4"
Heroes & Generals,Battle,Male,2.8,2016,105GB,PC
Battlefield V,Battle,Male,3.5,2018,7938MB,"PC, Xbox One, PlayStation 4"
Battlefield 3,Battle,Both,4.1,2011,5279MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Star Wars: Battlefront II (2005),Battle,Male,4.2,2005,3534MB,"PC, Xbox, PlayStation 2, PSP"
Max Payne 2: The Fall of Max Payne,Battle,Female,4.4,2003,112GB,"PC, Xbox, PlayStation 2"
Sniper Elite 4,Battle,Female,3.6,2017,20GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Medal of Honor,Battle,Male,3.3,2010,82GB,"PC, Xbox 360, PlayStation 3"
Red Faction: Guerrilla,Battle,Both,3.7,2009,6747MB,"PC, Xbox 360, PlayStation 3"
Binary Domain,Battle,Both,3.5,2012,64GB,"PC, Xbox 360, PlayStation 3"
S.T.A.L.K.E.R.: Call of Pripyat,Battle,Both,4.3,2009,109GB,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Crysis,Battle,Both,4.0,2007,6743MB,"PC, Xbox 360, PlayStation 3"
Hitman 2: Silent Assassin,Battle,Female,3.9,2002,87GB,"PC, Xbox 360, Xbox, PlayStation 3, PlayStation 2, GameCube"
S.T.A.L.K.E.R.: Clear Sky,Battle,Female,3.9,2008,5611MB,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Rage,Battle,Male,3.4,2011,1685MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Marvel's Guardians of the Galaxy,Battle,Male,4.3,2021,5238MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Call of Duty: Modern Warfare Remastered,Battle,Both,4.0,2016,101GB,"PC, Xbox One, PlayStation 4"
Call of Duty: World at War,Battle,Male,3.9,2008,7709MB,"PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3, Wii"
Shadow Warrior,Battle,Both,3.3,1997,45GB,"PC, macOS, Linux"
Gears 5,Battle,Male,3.9,2019,1333MB,"PC, Xbox One, Xbox Series S/X"
Red Faction: Armageddon,Battle,Both,3.0,2011,7GB,"PC, Xbox 360, PlayStation 3"
Sunset Overdrive,Battle,Both,3.9,2014,111GB,"PC, Xbox One"
The Evil Within 2,Battle,Both,4.1,2017,26GB,"PC, Xbox One, PlayStation 4"
Star Wars Jedi Knight: Jedi Academy,Battle,Both,4.3,2003,7038MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Xbox 360, Xbox"
System Shock 2,Battle,Both,4.1,1999,7094MB,"PC, macOS, Linux"
Call of Duty 4: Modern Warfare,Battle,Male,4.4,2007,6743MB,"PC, Xbox One, PlayStation 4, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
Alien Swarm,Battle,Both,3.3,2010,875MB,PC
Metro: Last Light,Battle,Male,4.1,2013,2691MB,"PC, Xbox 360, PlayStation 3"
7 Days to Die,Battle,Both,3.3,2013,6470MB,"PC, Xbox One, PlayStation 4, macOS, Linux"
Totally Accurate Battlegrounds,Battle,Female,2.8,2018,49GB,PC
Battlefield: Bad Company 2,Battle,Male,4.1,2010,3930MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Risk of Rain 2,Battle,Male,4.1,2020,96GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Shadow Warrior 2,Battle,Both,3.5,2016,127GB,"PC, Xbox One, PlayStation 4"
Just Cause,Battle,Male,3.3,2006,17GB,"PC, Xbox 360, Xbox, PlayStation 2"
Renegade Ops,Battle,Male,3.0,2011,128GB,"PC, Xbox 360, PlayStation 3"
Sniper Elite 3,Battle,Male,3.5,2014,1705MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
Serious Sam: The First Encounter,Battle,Both,4.0,2001,3313MB,PC
Mass Effect: Legendary Edition,Battle,Male,4.6,2021,3146MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Uncharted 2: Among Thieves,Battle,Female,4.4,2009,65GB,"PlayStation 4, PlayStation 3"
Serious Sam HD:  The First Encounter,Battle,Both,3.9,2009,3621MB,"PC, Xbox 360"
Hitman: Codename 47,Battle,Male,3.8,2000,1165MB,PC
DOOM 3,Battle,Female,3.9,2004,82GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS, Linux, Xbox"
Call of Duty: Modern Warfare (2019),Battle,Male,3.8,2019,21GB,"PC, Xbox One, PlayStation 4"
World of Tanks,Battle,Both,2.9,2010,84GB,"PC, Xbox One, PlayStation 4, Xbox 360"
Uncharted: Drake's Fortune,Battle,Both,4.0,2007,2622MB,"PlayStation 4, PlayStation 3"
Dirty Bomb,Battle,Female,2.7,2015,118GB,PC
Star Wars Jedi Knight II: Jedi Outcast,Battle,Both,4.2,2002,3024MB,"PC, PlayStation 4, Nintendo Switch, macOS, Xbox, GameCube, Classic Macintosh"
Alpha Protocol,Battle,Both,3.5,2010,11GB,"PC, Xbox 360, PlayStation 3"
Tom Clancy's Ghost Recon Wildlands,Battle,Male,3.6,2017,114GB,"PC, Xbox One, PlayStation 4"
Far Cry Primal,Battle,Male,3.6,2016,47GB,"PC, Xbox One, PlayStation 4"
Unreal Gold,Battle,Male,3.4,2000,116GB,PC
Shadow Warrior (2013),Battle,Female,3.6,2013,111GB,"PC, Xbox One, PlayStation 4, iOS, macOS, Linux"
My Friend Pedro,Battle,Male,3.9,2019,4947MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS"
RUINER,Battle,Both,3.7,2017,10GB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Far Cry,Battle,Both,3.9,2004,2589MB,"PC, Xbox 360, Xbox, PlayStation 3, PlayStation 2, Wii"
Call of Duty,Battle,Female,4.2,2003,1118MB,"PC, macOS, Xbox 360, PlayStation 3"
Bulletstorm,Battle,Male,4.1,2011,56GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Kane & Lynch 2: Dog Days,Battle,Both,3.2,2010,146GB,"PC, Xbox 360, PlayStation 3"
Serious Sam HD: The Second Encounter,Battle,Male,3.9,2010,1852MB,"PC, Xbox 360"
Overwatch,Battle,Both,4.1,2016,2716MB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Red Faction Guerrilla Re-Mars-tered,Battle,Male,3.5,2018,7GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Vanquish,Battle,Female,4.0,2010,1899MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Call of Duty: Advanced Warfare,Battle,Male,3.5,2014,7167MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Star Wars: Republic Commando,Battle,Both,4.2,2005,2812MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, Xbox"
DOOM II,Battle,Female,4.4,1994,62GB,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, macOS, Xbox 360, Game Boy Advance, Classic Macintosh"
Duke Nukem Forever,Battle,Both,2.9,2011,4644MB,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
Gears of War,Battle,Male,4.1,2006,866MB,"PC, Xbox One, Xbox 360"
Call of Duty: Ghosts,Battle,Both,3.1,2013,4990MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
Quake,Battle,Male,4.2,1996,2844MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux, Xbox, Nintendo 64, Classic Macintosh, Commodore / Amiga, SEGA Saturn"
Doom 3: BFG Edition,Battle,Both,3.8,2012,128GB,"PC, PlayStation 4, Android, Xbox 360, PlayStation 3"
Tomb Raider II,Battle,Both,3.7,1997,4913MB,"PC, iOS, Android, macOS, PlayStation, Classic Macintosh"
Tom Clancy’s The Division 2,Battle,Female,3.7,2019,106GB,"PC, Xbox One, PlayStation 4, Web"
Call of Duty: Infinite Warfare,Battle,Male,3.6,2016,4346MB,"PC, Xbox One, PlayStation 4"
Serious Sam: The Second Encounter,Battle,Both,4.0,2002,7608MB,PC
Battlefield Hardline,Battle,Male,3.2,2015,4001MB,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
Dead Space 3,Battle,Both,3.6,2013,3703MB,"PC, Xbox One, Xbox 360, PlayStation 3"
Hitman: Contracts,Battle,Both,3.9,2004,80GB,"PC, macOS, Xbox 360, Xbox, PlayStation 3, PlayStation 2"
Kane and Lynch: Dead Men,Battle,Female,3.6,2007,2900MB,"PC, Xbox 360, PlayStation 3"
Half-Life: Alyx,Battle,Male,4.4,2020,1723MB,PC
Arma 3,Battle,Both,3.8,2013,109GB,PC
Star Wars: Dark Forces,Battle,Both,3.6,1995,2918MB,"PC, PlayStation, Classic Macintosh"
Ring of Elysium,Battle,Male,2.9,2018,96GB,PC
Halo 3,Battle,Male,4.4,2007,102GB,"PC, Xbox One, Xbox 360"
Dead Island Riptide,Battle,Male,3.4,2013,4076MB,"PC, Xbox 360, PlayStation 3"
Hawken,Battle,Male,2.8,2014,147GB,"PC, Xbox One, PlayStation 4"
Splitgate,Battle,Male,3.4,2019,1802MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Halo: Reach,Battle,Both,4.3,2010,127GB,"PC, Xbox One, Xbox 360"
Gears of War 2,Battle,Male,4.3,2008,4049MB,"Xbox One, Xbox 360"
Brink,Battle,Male,2.7,2011,780MB,"PC, Xbox 360, PlayStation 3"
Rage 2,Battle,Male,3.2,2019,105GB,"PC, Xbox One, PlayStation 4"
Fortnite: Save The World,Battle,Both,3.0,2017,3613MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS"
STAR WARS Jedi Knight: Dark Forces II,Battle,Female,3.7,1997,2188MB,PC
Back 4 Blood,Battle,Female,3.2,2021,126GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Killzone Shadow Fall,Battle,Female,3.2,2013,6374MB,PlayStation 4
Call of Duty: Black Ops 4,Battle,Male,3.3,2018,3294MB,"PC, Xbox One, PlayStation 4"
Quake II,Battle,Both,4.2,1997,6059MB,"PC, Linux, Xbox 360, PlayStation, Nintendo 64, Classic Macintosh, Commodore / Amiga"
Call of Duty 2,Battle,Female,4.2,2005,141GB,"PC, Xbox One, iOS, macOS, Xbox 360"
State of Decay 2,Battle,Female,3.3,2018,30GB,"PC, Xbox One"
Aliens vs. Predator,Battle,Both,3.5,2010,52GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Defiance,Battle,Female,2.2,2013,2684MB,"PC, Xbox 360, PlayStation 3"
Far Cry 6,Battle,Both,3.4,2021,7745MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Gears of War 3,Battle,Female,4.2,2011,1341MB,"Xbox One, Xbox 360"
Tomb Raider V: Chronicles,Battle,Both,3.4,2000,129GB,"PC, PlayStation, Classic Macintosh, Dreamcast"
Gears of War 4,Battle,Male,3.9,2016,18GB,"PC, Xbox One, Xbox Series S/X"
Far Cry New Dawn,Battle,Both,3.4,2019,28GB,"PC, Xbox One, PlayStation 4"
System Shock (1994),Battle,Male,4.0,1994,148GB,PC
Crysis 3,Battle,Both,3.7,2013,23GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Watch Dogs: Legion,Battle,Both,3.1,2020,129GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Sanctum,Battle,Male,3.3,2011,30GB,"PC, macOS"
Operation Flashpoint: Dragon Rising,Battle,Both,2.8,2009,85GB,"PC, Xbox One, Xbox 360, PlayStation 3"
Crysis Warhead,Battle,Both,3.8,2008,7278MB,PC
Ultimate Doom,Battle,Female,4.4,1995,3175MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Xbox 360, Classic Macintosh"
Call of Duty: Black Ops Cold War,Battle,Female,3.8,2020,6592MB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Receiver,Battle,Both,2.8,2012,11GB,"PC, macOS, Linux"
Unreal Tournament 3 Black,Battle,Female,3.8,2007,4580MB,"PC, Xbox 360, PlayStation 3"
Lovers in a Dangerous Spacetime,Battle,Male,3.6,2015,1872MB,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux"
Crysis 2,Battle,Both,3.8,2011,87GB,"PC, Xbox 360, PlayStation 3"
Hunt: Showdown,Battle,Female,3.9,2018,16GB,"PC, Xbox One, PlayStation 4"
Blacklight: Retribution,Battle,Both,2.5,2012,83GB,"PC, PlayStation 4"
Tomb Raider IV: The Last Revelation,Battle,Male,3.7,1999,96GB,"PC, PlayStation, Classic Macintosh, Dreamcast"
Kena: Bridge of Spirits,Battle,Male,4.0,2021,60GB,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X"
Quake III Arena,Battle,Female,4.3,1999,145GB,"PC, Linux, PlayStation 2, PlayStation, Classic Macintosh, Dreamcast"
APB Reloaded,Battle,Both,2.3,2011,6391MB,"PC, Xbox One, PlayStation 4"
Outriders,Battle,Both,3.4,2021,114GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X"
Sniper: Ghost Warrior 2,Battle,Male,3.1,2013,2683MB,"PC, Xbox 360, PlayStation 3"
Halo 5: Guardians,Battle,Male,3.7,2015,64GB,Xbox One
Wolfenstein: Youngblood,Battle,Female,2.7,2019,20GB,"PC, Xbox One, PlayStation 4, Nintendo Switch"
Hitman 3,Battle,Male,4.2,2021,70GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
Return to Castle Wolfenstein,Battle,Both,4.2,2001,5171MB,"PC, macOS, Linux, PlayStation 2"
Sniper: Ghost Warrior,Battle,Both,3.0,2010,1183MB,"PC, iOS, Android, Xbox 360, PlayStation 3"
Overwatch 2,Battle,Male,3.1,2022,140GB,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
